iter	Logloss
0	0.674322055
1	0.6566067662
2	0.6381299484
3	0.6214238022
4	0.6021436885
5	0.5840642925
6	0.5639566755
7	0.5499108324
8	0.5335434226
9	0.5190780708
10	0.5049103707
11	0.4926956547
12	0.480935828
13	0.4671127637
14	0.4554632978
15	0.444699385
16	0.4344504549
17	0.4235966256
18	0.4113301082
19	0.4005358305
20	0.3913824173
21	0.3833407984
22	0.3742838412
23	0.3643516112
24	0.3557114054
25	0.3474128082
26	0.341221359
27	0.3339233105
28	0.3280532637
29	0.3210950638
30	0.3133542132
31	0.3066904148
32	0.301269094
33	0.2959029353
34	0.2902769571
35	0.2836463463
36	0.2788638628
37	0.2734890427
38	0.2686664899
39	0.2632642076
40	0.2585154473
41	0.2531257475
42	0.2482308575
43	0.2444210466
44	0.2410576788
45	0.2369605236
46	0.2340030485
47	0.2297443402
48	0.2269324495
49	0.2230694715
50	0.2202464114
51	0.2161560939
52	0.2125592808
53	0.2095464387
54	0.2068463658
55	0.2034589032
56	0.2010469169
57	0.1982411533
58	0.1950800973
59	0.1921480112
60	0.1899229514
61	0.1877478934
62	0.1853250836
63	0.1834765787
64	0.1811464491
65	0.1798742513
66	0.1774790403
67	0.1756670304
68	0.1731381553
69	0.1715742432
70	0.1695437397
71	0.1678312391
72	0.1657930125
73	0.1637056687
74	0.1622766863
75	0.1608859847
76	0.1593249981
77	0.1576004363
78	0.1559352586
79	0.1546883882
80	0.1531948095
81	0.1515716342
82	0.1501276468
83	0.1484664143
84	0.1470698502
85	0.1456924487
86	0.1446836193
87	0.1435142563
88	0.1422524195
89	0.1411738465
90	0.1398713896
91	0.1389335456
92	0.1378113891
93	0.1364101787
94	0.1353037625
95	0.1345793388
96	0.1334226145
97	0.1319583198
98	0.13080297
99	0.129704011
100	0.1288821628
101	0.1276741134
102	0.1269420803
103	0.1259215814
104	0.1250595931
105	0.1240786212
106	0.1229167238
107	0.1218068693
108	0.1206996757
109	0.119780221
110	0.1189346665
111	0.1180819958
112	0.1173445866
113	0.1163466092
114	0.1155156325
115	0.114893789
116	0.1141952445
117	0.1132249913
118	0.1124961472
119	0.1117814666
120	0.1112335566
121	0.1102429706
122	0.1093549924
123	0.1086494605
124	0.1077861455
125	0.1072126308
126	0.1063619271
127	0.105721485
128	0.1051379807
129	0.1045843959
130	0.1039059632
131	0.1035409422
132	0.1031203344
133	0.1026343619
134	0.1020778176
135	0.1015374784
136	0.1008093079
137	0.1002462422
138	0.0995453709
139	0.0989878005
140	0.09837823845
141	0.09783500739
142	0.09721419936
143	0.09670912758
144	0.09627681401
145	0.09582362031
146	0.09545331801
147	0.09496092704
148	0.09433399023
149	0.09378332186
150	0.09344036966
151	0.09292933916
152	0.09249320584
153	0.09204234434
154	0.09148097102
155	0.09115064424
156	0.09064210147
157	0.09032456568
158	0.08982193812
159	0.08946145223
160	0.08905989125
161	0.08864071645
162	0.08830111211
163	0.08786701946
164	0.08744519499
165	0.08701714556
166	0.08666931948
167	0.08629628315
168	0.08584512385
169	0.08543466227
170	0.08505699675
171	0.08477383239
172	0.08435359335
173	0.08398047284
174	0.08368328316
175	0.0833335483
176	0.08291804629
177	0.08258316063
178	0.0821316381
179	0.08185107796
180	0.08150387133
181	0.08125984307
182	0.08096428788
183	0.08061628425
184	0.08029964175
185	0.07995297255
186	0.07954957103
187	0.0791820205
188	0.07892501064
189	0.07849941864
190	0.07799067864
191	0.07773738753
192	0.07741698891
193	0.07702829041
194	0.07672785949
195	0.07629319576
196	0.07590950824
197	0.07572734142
198	0.07542474037
199	0.07505884207
200	0.074880104
201	0.07455315385
202	0.07421601422
203	0.07390575893
204	0.07360470837
205	0.0733896883
206	0.07316971112
207	0.0729869244
208	0.07263520805
209	0.07242218093
210	0.07215273776
211	0.07197524014
212	0.0717379561
213	0.07145483396
214	0.07111071313
215	0.07090922585
216	0.07060233613
217	0.07031366811
218	0.07007403759
219	0.06967790806
220	0.06933572137
221	0.06908153638
222	0.06873325911
223	0.06857760372
224	0.06826660404
225	0.06803815065
226	0.06796066626
227	0.06770783814
228	0.06749871405
229	0.06725392685
230	0.06704524464
231	0.06680298557
232	0.06653797561
233	0.06638130721
234	0.06616740009
235	0.06584901151
236	0.06553330895
237	0.06529504886
238	0.06503324215
239	0.06485073773
240	0.06462599877
241	0.06440443708
242	0.06413664864
243	0.06393020003
244	0.06369366557
245	0.06349975452
246	0.06325034177
247	0.06299937397
248	0.06277983792
249	0.06253292395
250	0.06230813157
251	0.0621084897
252	0.06179764163
253	0.06161460382
254	0.06140031209
255	0.06125811912
256	0.0610976038
257	0.06088780982
258	0.0607427075
259	0.06061001852
260	0.06049349205
261	0.06031212085
262	0.06012639025
263	0.06002161011
264	0.05984571379
265	0.05968178588
266	0.05950994868
267	0.05939822443
268	0.05910077548
269	0.05889644334
270	0.05865956695
271	0.05853476578
272	0.0583585803
273	0.0581757151
274	0.05794205723
275	0.05776869699
276	0.05760799244
277	0.05742612942
278	0.05727817739
279	0.05712737651
280	0.05701570053
281	0.05687865434
282	0.05674794854
283	0.0566320169
284	0.05645317965
285	0.05628274
286	0.0561434483
287	0.0559044999
288	0.05566044878
289	0.05550674011
290	0.05540977493
291	0.05521158767
292	0.05500580431
293	0.05490188892
294	0.05473180139
295	0.05459269984
296	0.05445112211
297	0.05429965228
298	0.05408378489
299	0.05393061172
300	0.05379909665
301	0.05365013658
302	0.05348666385
303	0.05334054751
304	0.05324800437
305	0.05316212076
306	0.05297496746
307	0.05284951665
308	0.05276682968
309	0.05258417828
310	0.05240349622
311	0.05232040338
312	0.05218514033
313	0.05207485341
314	0.05193930626
315	0.05176769002
316	0.051630631
317	0.05151317396
318	0.0513365354
319	0.05118663204
320	0.05102463272
321	0.05093626474
322	0.05076604836
323	0.0505959226
324	0.05039190611
325	0.05020225569
326	0.05012537468
327	0.0499771758
328	0.0498397236
329	0.0496955535
330	0.04958397407
331	0.04945702416
332	0.04930396238
333	0.04919586806
334	0.04903374611
335	0.04892844857
336	0.04885232539
337	0.04868852672
338	0.04855330378
339	0.04839777119
340	0.04825296441
341	0.04811411191
342	0.04792816879
343	0.04777061815
344	0.04764541228
345	0.0474929134
346	0.04740610274
347	0.04730301376
348	0.04715489014
349	0.04703686323
350	0.04696329986
351	0.04689009746
352	0.04675139192
353	0.04659175063
354	0.04646162269
355	0.04634857174
356	0.04620907547
357	0.04605353801
358	0.0459711592
359	0.04584993309
360	0.04563854631
361	0.04542711317
362	0.04532205574
363	0.04520997925
364	0.04513964329
365	0.04496595577
366	0.04486467474
367	0.04478923637
368	0.04470403255
369	0.04462398358
370	0.04457419765
371	0.04443952115
372	0.04432515769
373	0.04420540286
374	0.04407103951
375	0.04391425539
376	0.04380323844
377	0.04369523477
378	0.04353612208
379	0.04342897367
380	0.04328416259
381	0.04313985364
382	0.04303023851
383	0.04287180552
384	0.04277834666
385	0.04269623641
386	0.04259277435
387	0.04248453291
388	0.04230194462
389	0.04223531847
390	0.04217110186
391	0.04204955636
392	0.04195982895
393	0.04185153404
394	0.04171981367
395	0.04159645674
396	0.04155621883
397	0.04148885387
398	0.04139833784
399	0.04137413672
400	0.04123195602
401	0.04115213695
402	0.04106900348
403	0.04094072088
404	0.04087390561
405	0.04078656181
406	0.04069414514
407	0.04060153193
408	0.04050851871
409	0.0404312526
410	0.04027520921
411	0.04021716734
412	0.04007042409
413	0.03994193574
414	0.03987914282
415	0.03972228691
416	0.03967162358
417	0.03961385393
418	0.03959507752
419	0.03945004199
420	0.03932904244
421	0.0392982454
422	0.03924533972
423	0.03918411383
424	0.03908496533
425	0.03897631198
426	0.03883845553
427	0.03876122643
428	0.03866639597
429	0.03856298544
430	0.03841338126
431	0.03830175532
432	0.03822387062
433	0.03816241391
434	0.03803830149
435	0.03800204672
436	0.03790967995
437	0.03780775479
438	0.03775214236
439	0.03770045202
440	0.03757329746
441	0.03746257737
442	0.03739804058
443	0.03729791074
444	0.03722186585
445	0.03713692111
446	0.03700014633
447	0.03686032356
448	0.03674865788
449	0.03663775697
450	0.03657301204
451	0.03646463198
452	0.03642095844
453	0.03635679741
454	0.03629915821
455	0.03619887332
456	0.03613856581
457	0.03604316644
458	0.03594837884
459	0.03588211783
460	0.03582422898
461	0.0357591347
462	0.03565544316
463	0.03559821531
464	0.03550425328
465	0.03543484346
466	0.03539188534
467	0.03535909346
468	0.03521471274
469	0.03515444489
470	0.03503719559
471	0.03494256052
472	0.03486029372
473	0.03482885278
474	0.0347178206
475	0.03459444312
476	0.03451231252
477	0.03439142382
478	0.03431720982
479	0.03422988744
480	0.03412471347
481	0.03403876313
482	0.03395574846
483	0.03394064088
484	0.03387704959
485	0.03383115836
486	0.0337456626
487	0.03366982197
488	0.03356701575
489	0.03347952781
490	0.03340630452
491	0.03330508016
492	0.03319281862
493	0.03311735628
494	0.03300342918
495	0.03298370768
496	0.032918701
497	0.03282044706
498	0.03272290313
499	0.03266610306
500	0.03256252278
501	0.03249364728
502	0.03244440159
503	0.03236235311
504	0.03230587594
505	0.03221643389
506	0.03215486889
507	0.03212400417
508	0.03205149099
509	0.03199692533
510	0.03192589829
511	0.03190101185
512	0.03185532743
513	0.03177450013
514	0.03165792558
515	0.03157660353
516	0.0314887074
517	0.03142686045
518	0.03135686255
519	0.03133609429
520	0.03125663329
521	0.03122760902
522	0.03114630197
523	0.03108058302
524	0.03100794078
525	0.03097369343
526	0.0309329797
527	0.03089094217
528	0.03079793558
529	0.03078487772
530	0.0307427597
531	0.03066055219
532	0.03059344945
533	0.03056508132
534	0.03055293377
535	0.03048650715
536	0.03044860209
537	0.03037244728
538	0.03032938074
539	0.03024834542
540	0.03023382267
541	0.03014476821
542	0.03011818
543	0.03009835252
544	0.03005062109
545	0.02997226969
546	0.02995872161
547	0.02992806174
548	0.02987553022
549	0.02976569496
550	0.02973272595
551	0.02970178642
552	0.0296096989
553	0.0295041562
554	0.02944194575
555	0.0294199502
556	0.0293052101
557	0.02926351787
558	0.02919101926
559	0.02912295453
560	0.02909738343
561	0.02904611077
562	0.02902947206
563	0.02897127807
564	0.02892577875
565	0.0289020702
566	0.02882521434
567	0.02873763204
568	0.02871349708
569	0.0286133155
570	0.02857433859
571	0.02848261511
572	0.02844724329
573	0.0283295097
574	0.02829037897
575	0.02818697382
576	0.0281603861
577	0.02809542476
578	0.02805983116
579	0.02799118816
580	0.02793645408
581	0.02786779027
582	0.02784116966
583	0.02777004901
584	0.02766966494
585	0.02756270221
586	0.02754198099
587	0.02745681735
588	0.02737853733
589	0.02733985497
590	0.02731238301
591	0.02729813923
592	0.02728632605
593	0.02727124629
594	0.02725004652
595	0.02721767003
596	0.02713614079
597	0.02708533505
598	0.02700556666
599	0.02695114716
600	0.0268974032
601	0.02680551603
602	0.02677492215
603	0.02676489495
604	0.02669893126
605	0.02665810447
606	0.02661241864
607	0.02651179058
608	0.02648786712
609	0.02640285594
610	0.02635519073
611	0.02628911724
612	0.02625997973
613	0.02622793164
614	0.02620665378
615	0.02613988675
616	0.02609409058
617	0.02607806757
618	0.02602756417
619	0.02599541524
620	0.0259825347
621	0.02589214463
622	0.02583048521
623	0.0257865852
624	0.02572512733
625	0.02563646992
626	0.02560678045
627	0.02556840773
628	0.02554706524
629	0.02553314743
630	0.02552241283
631	0.0255005407
632	0.02542057838
633	0.02535878952
634	0.02533555263
635	0.02523350664
636	0.02517021568
637	0.02512844548
638	0.02502993236
639	0.02494778507
640	0.02487813025
641	0.02485710609
642	0.02483584164
643	0.02472242195
644	0.024616656
645	0.02460049551
646	0.02457982802
647	0.02456153584
648	0.02450894793
649	0.0244100119
650	0.02433263404
651	0.02429358847
652	0.0242407679
653	0.02422001034
654	0.02419645887
655	0.02415863462
656	0.02408575937
657	0.02405222792
658	0.02398457339
659	0.02391746442
660	0.02389443857
661	0.02388107841
662	0.02383501439
663	0.02381230725
664	0.02378566328
665	0.02371579839
666	0.02369163188
667	0.02366349437
668	0.02365240757
