iter	Passed	Remaining
0	140	140296
1	142	70962
2	143	47815
3	145	36220
4	147	29270
5	148	24634
6	150	21327
7	151	18838
8	153	16935
9	155	15427
10	157	14201
11	159	13147
12	161	12263
13	163	11499
14	164	10829
15	166	10240
16	168	9726
17	170	9280
18	172	8882
19	174	8532
20	175	8200
21	177	7908
22	179	7626
23	181	7368
24	183	7158
25	185	6965
26	188	6777
27	190	6596
28	191	6427
29	193	6267
30	195	6115
31	197	5973
32	199	5840
33	201	5712
34	202	5589
35	204	5471
36	206	5364
37	207	5262
38	209	5172
39	211	5086
40	213	5004
41	215	4922
42	217	4841
43	230	5018
44	232	4938
45	234	4865
46	236	4800
47	238	4726
48	240	4658
49	241	4594
50	243	4533
51	245	4473
52	246	4413
53	248	4359
54	250	4307
55	252	4257
56	254	4207
57	256	4158
58	258	4118
59	260	4078
60	262	4041
61	264	4006
62	266	3965
63	268	3931
64	270	3897
65	272	3859
66	274	3823
67	276	3785
68	278	3755
69	280	3724
70	282	3692
71	284	3660
72	285	3630
73	287	3602
74	290	3577
75	292	3550
76	294	3525
77	296	3505
78	298	3485
79	301	3463
80	303	3442
81	305	3422
82	307	3399
83	309	3375
84	311	3357
85	314	3337
86	316	3316
87	317	3295
88	319	3275
89	321	3252
90	323	3229
91	324	3206
92	326	3188
93	328	3170
94	331	3155
95	333	3139
96	335	3124
97	337	3107
98	339	3088
99	341	3069
100	343	3059
101	345	3043
102	347	3027
103	349	3012
104	351	2998
105	353	2985
106	355	2969
107	357	2955
108	359	2939
109	361	2925
110	363	2914
111	366	2902
112	367	2888
113	369	2874
114	371	2860
115	373	2848
116	375	2833
117	377	2823
118	379	2812
119	381	2800
120	383	2788
121	385	2775
122	387	2761
123	389	2750
124	391	2737
125	392	2725
126	394	2714
127	396	2703
128	398	2691
129	400	2680
130	402	2667
131	404	2657
132	405	2645
133	407	2634
134	409	2623
135	411	2612
136	413	2602
137	415	2592
138	416	2582
139	418	2572
140	420	2562
141	422	2554
142	424	2545
143	426	2536
144	428	2528
145	430	2519
146	432	2509
147	434	2499
148	436	2490
149	437	2481
150	439	2471
151	441	2462
152	443	2452
153	445	2446
154	447	2439
155	449	2432
156	451	2424
157	453	2416
158	455	2407
159	456	2398
160	459	2392
161	460	2382
162	462	2374
163	464	2367
164	466	2360
165	468	2352
166	470	2344
167	471	2336
168	473	2328
169	475	2321
170	477	2314
171	479	2307
172	481	2300
173	482	2292
174	484	2284
175	486	2277
176	488	2270
177	490	2262
178	491	2255
179	493	2248
180	495	2242
181	497	2235
182	499	2228
183	500	2221
