iter	Logloss
0	0.688748126
1	0.6836639794
2	0.6790988116
3	0.6730991828
4	0.6679711504
5	0.6619776431
6	0.6574049585
7	0.65201091
8	0.6492966015
9	0.6453787843
10	0.6397071069
11	0.6349552778
12	0.6293880263
13	0.6241158681
14	0.6206370449
15	0.6179280027
16	0.6138613336
17	0.6109201237
18	0.6063005824
19	0.6000035649
20	0.5958686588
21	0.589038394
22	0.5862564787
23	0.5802603608
24	0.5757358831
25	0.5709302656
26	0.5675896717
27	0.5634495894
28	0.5598256501
29	0.5576653391
30	0.5545869802
31	0.5523976369
32	0.5482942837
33	0.5457130282
34	0.542665412
35	0.5399630314
36	0.5365733753
37	0.5325171488
38	0.5292913784
39	0.5241685222
40	0.521926966
41	0.5194631896
42	0.5161617554
43	0.5129678078
44	0.5091483401
45	0.5056692468
46	0.5023349994
47	0.500439354
48	0.4958019433
49	0.491226603
50	0.4885140499
51	0.4841519275
52	0.4832627318
53	0.4803644176
54	0.477194326
55	0.4754801206
56	0.4726534192
57	0.4696429822
58	0.4675350642
59	0.4648563144
60	0.4634409832
61	0.4599785441
62	0.4556631433
63	0.4534005668
64	0.4503364315
65	0.4478348907
66	0.4467178486
67	0.4443951372
68	0.441544985
69	0.4396535256
70	0.4366516857
71	0.4339942713
72	0.430373798
73	0.4271559045
74	0.4253958327
75	0.4226227846
76	0.4212081286
77	0.419372303
78	0.4175580829
