iter	Passed	Remaining
0	48	48255
1	50	24961
2	51	17189
3	53	13269
4	54	10932
5	56	9372
6	58	8285
7	59	7370
8	60	6671
9	61	6106
10	62	5626
11	63	5223
12	64	4909
13	65	4611
14	66	4364
15	67	4146
16	68	3974
17	70	3831
18	71	3705
19	73	3581
20	74	3455
21	75	3334
22	75	3221
23	76	3122
24	77	3027
25	78	2939
26	79	2861
27	80	2788
28	81	2721
29	82	2656
30	83	2596
31	83	2539
32	85	2497
33	86	2457
34	87	2414
35	88	2371
36	89	2329
37	90	2288
38	91	2250
39	92	2216
40	93	2180
41	94	2146
42	94	2114
43	95	2081
44	96	2053
45	97	2024
46	98	1998
47	99	1974
48	100	1951
49	101	1931
50	102	1913
51	103	1891
52	104	1870
53	105	1849
54	107	1848
55	108	1829
56	109	1811
57	110	1793
58	111	1777
59	112	1762
60	113	1746
61	114	1731
62	115	1715
63	116	1701
64	117	1688
65	118	1675
66	119	1664
67	120	1651
68	121	1638
69	122	1625
70	124	1623
71	125	1611
72	126	1600
73	127	1589
74	128	1579
75	129	1568
76	130	1558
77	131	1555
78	132	1547
